Category,Rank,Player,Value,Metric
Unknown,48,Youness Dahmani,15,Apps
Unknown,49,Nordin Amrabat,15,Apps
Unknown,50,Mohamed Rabie Hrimat,15,Apps
Unknown,1,Anas Serrhat,21,Goals
Unknown,2,Oussama Soukhal,20,Goals
Unknown,3,Zakaria Kiani,19,Goals
Unknown,4,Mohamed Saoud,19,Goals
Unknown,5,Houdaifa El Mahasni,18,Goals
Unknown,6,Amine El Msane,18,Goals
Unknown,7,Euclides Cabral,17,Goals
Unknown,8,Mouad Bahsain,15,Goals
Unknown,9,Hamza Regragui,15,Goals
Unknown,10,Ameur Aboujemaa,12,Goals
Unknown,11,Amine Aboulfath,12,Goals
Unknown,12,Anass Lamrabat,11,Goals
Unknown,13,Ismaël Kandouss,11,Goals
Unknown,14,Hamza El Moussaoui,11,Goals
Unknown,15,Ismail Soubai,10,Goals
Unknown,16,Ayoub Boucheta,9,Goals
Unknown,17,Takha Majni,8,Goals
Unknown,18,Abdelilah Madkour,8,Goals
Unknown,19,Oussama Haddadi,8,Goals
Unknown,20,Ayoub Khairi,8,Goals
Unknown,21,Hamza Semmoumy,8,Goals
Unknown,22,Mohamed Moufid,7,Goals
Unknown,23,Mohamed Bouchouari,7,Goals
Unknown,24,Ousmane Diallo,7,Goals
Unknown,25,Ahmed Hammoudan,6,Goals
Unknown,26,Walid Atik,6,Goals
Unknown,27,Ayman El Wafi,6,Goals
Unknown,28,Yassine Kordani,6,Goals
Unknown,29,Fallou Formose Mendy,6,Goals
Unknown,30,Anas Bach,6,Goals
Unknown,31,Abdelhak Assal,6,Goals
Unknown,32,Ayoub Ayoub Sahnoune,6,Goals
Unknown,33,Adil Rhaili,5,Goals
Unknown,34,Marwan Louadni,5,Goals
Unknown,35,Mohamed Rabie Hrimat,5,Goals
Unknown,36,Ayoub Bouzidi,5,Goals
Unknown,37,Youssef Limouri,5,Goals
Unknown,38,Tahar Ahmed Madeira El Khalej,5,Goals
Unknown,39,Abdessamad Badaoui,4,Goals
Unknown,40,Reda Ait Boughima,4,Goals
Unknown,41,Ayman Chbani,4,Goals
Unknown,42,Houari Ferhani,4,Goals
Unknown,43,Yassine Marsile,4,Goals
Unknown,44,Ismail Mokadem,4,Goals
Unknown,45,Zakaria Oubraim,4,Goals
